label,path,total_energy_pj,used_fallback,gemm_energy_pj,load_cm_energy_pj,load_rm_energy_pj,mov_energy_pj,mov_rev_energy_pj,softmax_energy_pj,store_rm_energy_pj,gemm_calls,load_cm_calls,load_rm_calls,mov_calls,mov_rev_calls,softmax_calls,store_rm_calls
0,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/0.py,1142944.3885312001,False,864737.28,7153.0960256,14306.1920512,14306.1920512,0.0,235288.53237759997,7153.0960256,2,1,2,2,0,1,1
1,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/1.py,1142944.3885312001,False,864737.28,7153.0960256,14306.1920512,14306.1920512,0.0,235288.53237759997,7153.0960256,2,1,2,2,0,1,1
2,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/2.py,1142944.3885312001,False,864737.28,7153.0960256,14306.1920512,14306.1920512,0.0,235288.53237759997,7153.0960256,2,1,2,2,0,1,1
3,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/3.py,1157250.5805824003,False,864737.28,7153.0960256,21459.2880768,14306.1920512,0.0,235288.53237759997,14306.1920512,2,1,3,2,0,1,2
4,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/4.py,1157250.5805824003,False,864737.28,7153.0960256,14306.1920512,21459.2880768,7153.0960256,235288.53237759997,7153.0960256,2,1,2,3,1,1,1
5,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/5.py,1142944.3885312001,False,864737.28,7153.0960256,14306.1920512,14306.1920512,0.0,235288.53237759997,7153.0960256,2,1,2,2,0,1,1
6,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/6.py,1157250.5805824003,False,864737.28,7153.0960256,21459.2880768,14306.1920512,0.0,235288.53237759997,14306.1920512,2,1,3,2,0,1,2
7,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/7.py,1157250.5805824003,False,864737.28,7153.0960256,14306.1920512,21459.2880768,7153.0960256,235288.53237759997,7153.0960256,2,1,2,3,1,1,1
8,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/8.py,1142944.3885312001,False,864737.28,7153.0960256,14306.1920512,14306.1920512,0.0,235288.53237759997,7153.0960256,2,1,2,2,0,1,1
9,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/9.py,1157250.5805824003,False,864737.28,7153.0960256,14306.1920512,21459.2880768,7153.0960256,235288.53237759997,7153.0960256,2,1,2,3,1,1,1
10,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/10.py,1157250.5805824003,False,864737.28,7153.0960256,21459.2880768,14306.1920512,0.0,235288.53237759997,14306.1920512,2,1,3,2,0,1,2
11,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/11.py,1142944.3885312001,False,864737.28,7153.0960256,14306.1920512,14306.1920512,0.0,235288.53237759997,7153.0960256,2,1,2,2,0,1,1
12,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/12.py,1157250.5805824003,False,864737.28,7153.0960256,21459.2880768,14306.1920512,0.0,235288.53237759997,14306.1920512,2,1,3,2,0,1,2
13,/scratch/krish/MLIR-hardware-analysis/submodule/act/log/attn_tile64_demo/demo_000/13.py,1157250.5805824003,False,864737.28,7153.0960256,14306.1920512,21459.2880768,7153.0960256,235288.53237759997,7153.0960256,2,1,2,3,1,1,1
