group,energy_uJ,num_candidates,candidate_ids,representative,MAC Array,ACC,Scratchpad,Control Logic,command_count,spad_bytes
1,12.927598968221918,5,12 18 22 24 35,12,1.3320876875355898,2.6411590888905345,5.44768,3.5066721917957926,3650.0,286720.0
2,13.086249849400957,5,14 16 26 30 36,14,1.3320876875355898,2.643319507537601,5.603328,3.5075146543277658,3651.0,294912.0
3,13.244900730579996,1,32,32,1.3320876875355898,2.645479926184667,5.758976,3.5083571168597394,3652.0,303104.0
4,13.427487901133713,4,1 2 4 5,1,1.3320876875355898,2.7219168177097344,5.758976,3.6145073958883884,3778.0,303104.0
5,13.554667231689331,6,20 21 23 28 34 37,20,1.3320876875355898,2.6439504272940004,6.070272,3.5083571168597394,3652.0,319488.0
6,13.586138782312753,3,6 8 11,6,1.3320876875355898,2.7240772363568007,5.914624,3.615349858420362,3779.0,311296.0
7,13.71331811286837,2,25 29,25,1.3320876875355898,2.646110845941067,6.22592,3.5091995793917126,3653.0,327680.0
8,13.744789663491792,3,9 13 15,9,1.3320876875355898,2.726237655003867,6.070272,3.6161923209523352,3780.0,319488.0
9,13.87196899404741,1,31,31,1.3320876875355898,2.648271264588134,6.381568,3.510042041923686,3654.0,335872.0
10,13.927376834045509,1,0,0,1.3320876875355898,2.802674546528934,6.070272,3.7223425999809847,3906.0,319488.0
11,14.054556164601125,4,3 7 10 17,3,1.3320876875355898,2.7247081561132003,6.381568,3.6161923209523352,3780.0,335872.0
12,14.181735495156744,3,19 27 33,19,1.3320876875355898,2.646741765697467,6.692864,3.510042041923686,3654.0,352256.0
