rank,candidate,total_uJ,MAC Array,ACC,Scratchpad,Control Logic,command_count,schedule_cycles,spad_bytes,mesh_tile_passes,acc_read_chunks,acc_write_chunks,acc_rmw_chunks,acc_data_component_uJ,acc_active_hierarchy_component_uJ
1,12,12.927598968221918,1.3320876875355898,2.6411590888905345,5.44768,3.5066721917957926,3650.0,4163.0,286720.0,512.0,768.0,512.0,3584.0,0.014640142997333749,2.6265189458932006
2,18,12.927598968221918,1.3320876875355898,2.6411590888905345,5.44768,3.5066721917957926,3650.0,4163.0,286720.0,512.0,768.0,512.0,3584.0,0.014640142997333749,2.6265189458932006
3,22,12.927598968221918,1.3320876875355898,2.6411590888905345,5.44768,3.5066721917957926,3650.0,4163.0,286720.0,512.0,768.0,512.0,3584.0,0.014640142997333749,2.6265189458932006
4,24,12.927598968221918,1.3320876875355898,2.6411590888905345,5.44768,3.5066721917957926,3650.0,4163.0,286720.0,512.0,768.0,512.0,3584.0,0.014640142997333749,2.6265189458932006
5,35,12.927598968221918,1.3320876875355898,2.6411590888905345,5.44768,3.5066721917957926,3650.0,4163.0,286720.0,512.0,768.0,512.0,3584.0,0.014640142997333749,2.6265189458932006
6,14,13.086249849400957,1.3320876875355898,2.643319507537601,5.603328,3.5075146543277658,3651.0,4164.0,294912.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.6271498656496006
7,16,13.086249849400957,1.3320876875355898,2.643319507537601,5.603328,3.5075146543277658,3651.0,4164.0,294912.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.6271498656496006
8,26,13.086249849400957,1.3320876875355898,2.643319507537601,5.603328,3.5075146543277658,3651.0,4164.0,294912.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.6271498656496006
9,30,13.086249849400957,1.3320876875355898,2.643319507537601,5.603328,3.5075146543277658,3651.0,4164.0,294912.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.6271498656496006
10,36,13.086249849400957,1.3320876875355898,2.643319507537601,5.603328,3.5075146543277658,3651.0,4164.0,294912.0,512.0,1024.0,768.0,3584.0,0.016169641888000366,2.6271498656496006
11,32,13.244900730579996,1.3320876875355898,2.645479926184667,5.758976,3.5083571168597394,3652.0,4165.0,303104.0,512.0,1280.0,1024.0,3584.0,0.017699140778666984,2.6277807854060002
12,1,13.427487901133713,1.3320876875355898,2.7219168177097344,5.758976,3.6145073958883884,3778.0,4291.0,303104.0,512.0,768.0,512.0,3584.0,0.014640142997333749,2.7072766747124004
